"from","to","Carrier","Departures","Seats","Passengers","Aircraft","Distance"
"ATL","SDF","Delta Air Lines Inc.",2,250,203,650,321
"ATL","SDF","Delta Air Lines Inc.",2,284,167,655,321
"ATL","SDF","Delta Air Lines Inc.",11,1628,1109,694,321
"ATL","SDF","Delta Air Lines Inc.",29,3653,2791,698,321
"ATL","SEA","Delta Air Lines Inc.",2,248,235,612,2182
"ATL","SEA","Delta Air Lines Inc.",3,480,414,614,2182
"ATL","SEA","Delta Air Lines Inc.",108,19854,18074,622,2182
"ATL","SEA","Delta Air Lines Inc.",36,8037,7360,626,2182
"ATL","SEA","Delta Air Lines Inc.",1,262,161,626,2182
"ATL","SFO","Delta Air Lines Inc.",123,22561,21284,622,2139
"ATL","SFO","Delta Air Lines Inc.",3,672,659,623,2139
"ATL","SFO","Delta Air Lines Inc.",50,12967,12345,626,2139
"ATL","SHV","Delta Air Lines Inc.",1,217,183,626,551
"ATL","SJC","Delta Air Lines Inc.",26,4158,3577,614,2116
"ATL","SJU","Delta Air Lines Inc.",117,21415,19675,622,1547
"ATL","SJU","Delta Air Lines Inc.",3,730,664,624,1547
"ATL","SLC","Delta Air Lines Inc.",31,4959,4385,614,1589
"ATL","SLC","Delta Air Lines Inc.",174,31758,30152,622,1589
"ATL","SLC","Delta Air Lines Inc.",35,8994,7158,626,1589
"ATL","SLC","Delta Air Lines Inc.",1,142,133,655,1589
"ATL","SLC","Delta Air Lines Inc.",4,592,542,694,1589
"ATL","SMF","Delta Air Lines Inc.",1,124,114,612,2092
"ATL","SMF","Delta Air Lines Inc.",45,7200,6145,614,2092
"ATL","SMF","Delta Air Lines Inc.",4,736,704,622,2092
"ATL","SNA","Delta Air Lines Inc.",135,16740,14750,612,1919
"ATL","SNA","Delta Air Lines Inc.",1,160,111,614,1919
"ATL","SRQ","Delta Air Lines Inc.",3,372,359,612,445
"ATL","SRQ","Delta Air Lines Inc.",16,2925,1850,622,445
"ATL","SRQ","Delta Air Lines Inc.",157,22343,18366,655,445
"ATL","STL","Delta Air Lines Inc.",4,496,375,612,483
"ATL","STL","Delta Air Lines Inc.",24,3840,3283,614,483
"ATL","STL","Delta Air Lines Inc.",18,3290,2097,622,483
"ATL","STL","Delta Air Lines Inc.",5,625,430,650,483
"ATL","STL","Delta Air Lines Inc.",131,18651,13757,655,483
"ATL","STL","Delta Air Lines Inc.",18,2664,1542,694,483
"ATL","STL","Delta Air Lines Inc.",24,3024,2458,698,483
"ATL","STT","Delta Air Lines Inc.",33,6041,5357,622,1599
"ATL","STT","Delta Air Lines Inc.",1,218,208,626,1599
"ATL","STX","Delta Air Lines Inc.",4,575,449,655,1638
"ATL","TLH","Delta Air Lines Inc.",27,3862,2657,655,223
"ATL","TPA","Delta Air Lines Inc.",5,800,702,614,406
"ATL","TPA","Delta Air Lines Inc.",323,59105,49242,622,406
"ATL","TPA","Delta Air Lines Inc.",6,1344,1014,623,406
"ATL","TPA","Delta Air Lines Inc.",4,960,677,626,406
"ATL","TPA","Delta Air Lines Inc.",1,125,111,650,406
"ATL","TPA","Delta Air Lines Inc.",15,2130,1825,655,406
"ATL","TPA","Delta Air Lines Inc.",1,148,127,694,406
"ATL","TPA","Delta Air Lines Inc.",3,378,357,698,406
"ATL","TPA","Delta Air Lines Inc.",1,262,171,626,406
"ATL","TUL","Delta Air Lines Inc.",1,160,49,614,674
"ATL","TUL","Delta Air Lines Inc.",28,3990,2459,655,674
"ATL","TUS","Delta Air Lines Inc.",31,5674,4520,622,1541
"ATL","TUS","Delta Air Lines Inc.",23,3404,3038,694,1541
"ATL","TYS","Delta Air Lines Inc.",1,124,43,612,152
"ATL","TYS","Delta Air Lines Inc.",17,2414,1424,655,152
"ATL","VPS","Delta Air Lines Inc.",1,125,72,650,250
"AUS","ATL","Delta Air Lines Inc.",1,124,119,612,813
"AUS","ATL","Delta Air Lines Inc.",154,21909,16837,655,813
"AUS","ATL","Delta Air Lines Inc.",1,148,130,694,813
"AUS","ATL","Delta Air Lines Inc.",1,126,119,698,813
"AUS","DTW","Delta Air Lines Inc.",1,142,69,655,1149
"AUS","DTW","Delta Air Lines Inc.",32,4032,2915,698,1149
"AUS","MSP","Delta Air Lines Inc.",1,142,51,655,1042
"AUS","MSP","Delta Air Lines Inc.",24,3024,1885,698,1042
"BDL","ATL","Delta Air Lines Inc.",6,960,842,614,859
"BDL","ATL","Delta Air Lines Inc.",146,20746,16144,655,859
"BDL","ATL","Delta Air Lines Inc.",14,2072,1259,694,859
"BDL","ATL","Delta Air Lines Inc.",1,126,123,698,859
"BDL","DTW","Delta Air Lines Inc.",17,2720,2382,614,548
"BDL","DTW","Delta Air Lines Inc.",12,1319,1058,645,548
"BDL","DTW","Delta Air Lines Inc.",3,375,318,650,548
"BDL","DTW","Delta Air Lines Inc.",4,592,393,694,548
"BDL","DTW","Delta Air Lines Inc.",17,2142,963,698,548
"BDL","FLL","Delta Air Lines Inc.",43,6127,4530,655,1173
"BDL","LGA","Delta Air Lines Inc.",1,126,75,698,101
"BDL","MCO","Delta Air Lines Inc.",2,320,282,614,1050
"BDL","MCO","Delta Air Lines Inc.",1,142,129,655,1050
"BDL","MCO","Delta Air Lines Inc.",50,7400,5856,694,1050
"BDL","MCO","Delta Air Lines Inc.",2,252,252,698,1050
"BDL","MSP","Delta Air Lines Inc.",1,160,87,614,1050
"BDL","MSP","Delta Air Lines Inc.",13,1853,1222,655,1050
"BDL","MSP","Delta Air Lines Inc.",17,2560,2005,656,1050
"BDL","MSP","Delta Air Lines Inc.",19,2394,2130,698,1050
"BDL","PBI","Delta Air Lines Inc.",16,2293,1303,655,1133
"BDL","PBI","Delta Air Lines Inc.",14,1764,1552,698,1133
"BDL","PWM","Delta Air Lines Inc.",1,142,118,655,169
"BDL","RSW","Delta Air Lines Inc.",13,1638,1441,698,1180
"BDL","TPA","Delta Air Lines Inc.",13,2374,1806,622,1111
"BHM","ATL","Delta Air Lines Inc.",2,220,162,645,134
"BHM","ATL","Delta Air Lines Inc.",59,7372,5284,650,134
"BHM","ATL","Delta Air Lines Inc.",19,2705,1452,655,134
"BHM","ATL","Delta Air Lines Inc.",1,126,125,698,134
"BIL","MSP","Delta Air Lines Inc.",12,1512,1312,698,748
"BIS","MSP","Delta Air Lines Inc.",6,750,365,650,386
"BIS","MSP","Delta Air Lines Inc.",1,148,35,694,386
"BIS","MSP","Delta Air Lines Inc.",8,1008,555,698,386
"BNA","ATL","Delta Air Lines Inc.",10,1240,1163,612,214
"BNA","ATL","Delta Air Lines Inc.",2,320,256,614,214
"BNA","ATL","Delta Air Lines Inc.",12,2197,1148,622,214
"BNA","ATL","Delta Air Lines Inc.",27,3375,2899,650,214
"BNA","ATL","Delta Air Lines Inc.",29,4139,3383,655,214
"BNA","ATL","Delta Air Lines Inc.",30,3780,2617,698,214
"BNA","DTW","Delta Air Lines Inc.",11,1210,874,645,457
"BNA","DTW","Delta Air Lines Inc.",13,1625,1041,650,457
"BNA","DTW","Delta Air Lines Inc.",1,148,24,694,457
"BNA","DTW","Delta Air Lines Inc.",15,1890,861,698,457
"BNA","IND","Delta Air Lines Inc.",1,184,112,622,249
"BNA","JAX","Delta Air Lines Inc.",1,183,146,622,484
"BNA","MCI","Delta Air Lines Inc.",1,184,114,622,491
"BNA","MSP","Delta Air Lines Inc.",1,126,116,698,695
"BNA","SLC","Delta Air Lines Inc.",13,1924,1712,694,1403
"BNA","SLC","Delta Air Lines Inc.",16,2016,1769,698,1403
"BOI","SLC","Delta Air Lines Inc.",32,5120,3497,614,291
"BOI","SLC","Delta Air Lines Inc.",45,6660,4895,694,291
"BOI","SLC","Delta Air Lines Inc.",3,378,251,698,291
"BOS","ATL","Delta Air Lines Inc.",1,124,119,612,946
"BOS","ATL","Delta Air Lines Inc.",1,160,117,614,946
"BOS","ATL","Delta Air Lines Inc.",270,49437,40207,622,946
"BOS","ATL","Delta Air Lines Inc.",2,433,296,626,946
"BOS","ATL","Delta Air Lines Inc.",25,3550,3034,655,946
"BOS","ATL","Delta Air Lines Inc.",1,298,200,687,946
"BOS","ATL","Delta Air Lines Inc.",2,486,466,696,946
"BOS","ATL","Delta Air Lines Inc.",1,126,93,698,946
"BOS","ATL","Delta Air Lines Inc.",1,54,31,698,946
"BOS","CVG","Delta Air Lines Inc.",25,4000,2988,614,752
"BOS","CVG","Delta Air Lines Inc.",1,142,101,655,752
"BOS","CVG","Delta Air Lines Inc.",29,4292,2884,694,752
"BOS","CVG","Delta Air Lines Inc.",1,126,125,698,752
"BOS","DTW","Delta Air Lines Inc.",28,4480,3593,614,632
"BOS","DTW","Delta Air Lines Inc.",1,217,214,626,632
"BOS","DTW","Delta Air Lines Inc.",15,1648,1538,645,632
"BOS","DTW","Delta Air Lines Inc.",8,1000,675,650,632
"BOS","DTW","Delta Air Lines Inc.",40,5687,3557,655,632
"BOS","DTW","Delta Air Lines Inc.",1,298,114,687,632
"BOS","DTW","Delta Air Lines Inc.",27,3994,3063,694,632
"BOS","DTW","Delta Air Lines Inc.",46,5796,4839,698,632
"BOS","IAD","Delta Air Lines Inc.",2,108,83,698,413
"BOS","IND","Delta Air Lines Inc.",1,54,38,698,817
"BOS","JFK","Delta Air Lines Inc.",2,337,323,622,187
"BOS","LGA","Delta Air Lines Inc.",251,31626,14721,698,185
"BOS","MCO","Delta Air Lines Inc.",54,7668,6845,655,1121
"BOS","MEM","Delta Air Lines Inc.",17,2720,1604,614,1139
"BOS","MSP","Delta Air Lines Inc.",1,160,160,614,1124
"BOS","MSP","Delta Air Lines Inc.",1,142,24,655,1124
"BOS","MSP","Delta Air Lines Inc.",21,3150,2259,656,1124
"BOS","MSP","Delta Air Lines Inc.",68,10061,8611,694,1124
"BOS","MSP","Delta Air Lines Inc.",42,5292,4782,698,1124
"BOS","PHL","Delta Air Lines Inc.",2,108,88,698,280
"BOS","SLC","Delta Air Lines Inc.",33,5280,4778,614,2105
"BOS","SLC","Delta Air Lines Inc.",17,3125,1850,622,2105
"BOS","SLC","Delta Air Lines Inc.",2,296,279,694,2105
"BUF","ATL","Delta Air Lines Inc.",2,248,219,612,712
"BUF","ATL","Delta Air Lines Inc.",1,125,87,650,712
"BUF","ATL","Delta Air Lines Inc.",129,18353,14598,655,712
"BUF","ATL","Delta Air Lines Inc.",10,1476,1381,694,712
"BUF","ATL","Delta Air Lines Inc.",1,126,111,698,712
"BWI","ATL","Delta Air Lines Inc.",2,248,190,612,576
"BWI","ATL","Delta Air Lines Inc.",11,1759,1041,614,576
"BWI","ATL","Delta Air Lines Inc.",102,18660,12665,622,576
"BWI","ATL","Delta Air Lines Inc.",2,250,232,650,576
"BWI","ATL","Delta Air Lines Inc.",190,27076,23037,655,576
"BWI","ATL","Delta Air Lines Inc.",1,148,126,694,576
"BWI","CLE","Delta Air Lines Inc.",1,262,140,626,314
"BWI","DCA","Delta Air Lines Inc.",1,126,46,698,30
"BWI","DSM","Delta Air Lines Inc.",1,160,77,614,910
"BWI","DTW","Delta Air Lines Inc.",52,8320,6289,614,408
"BWI","DTW","Delta Air Lines Inc.",5,550,532,645,408
"BWI","DTW","Delta Air Lines Inc.",45,5623,5021,650,408
"BWI","DTW","Delta Air Lines Inc.",19,2698,1089,655,408
"BWI","DTW","Delta Air Lines Inc.",18,2664,2016,694,408
"BWI","DTW","Delta Air Lines Inc.",13,1638,1279,698,408
"BWI","EFD","Delta Air Lines Inc.",1,262,149,626,1242
"BWI","JFK","Delta Air Lines Inc.",4,735,509,622,184
"BWI","JFK","Delta Air Lines Inc.",1,216,206,626,184
"BWI","LGA","Delta Air Lines Inc.",1,142,45,655,185
"BWI","LGA","Delta Air Lines Inc.",1,126,108,698,185
"BWI","MEM","Delta Air Lines Inc.",17,2142,754,698,787
"BWI","MSP","Delta Air Lines Inc.",25,4000,3365,614,936
"BWI","MSP","Delta Air Lines Inc.",6,859,627,655,936
"BWI","MSP","Delta Air Lines Inc.",28,4200,3396,656,936
"BWI","MSP","Delta Air Lines Inc.",9,1332,972,694,936
"BWI","MSP","Delta Air Lines Inc.",2,252,226,698,936
"BWI","PIT","Delta Air Lines Inc.",1,125,104,650,210
"BWI","SAN","Delta Air Lines Inc.",1,217,204,626,2295
"BWI","SLC","Delta Air Lines Inc.",12,1920,1834,614,1864
"BWI","SLC","Delta Air Lines Inc.",42,7691,6207,622,1864
"BZN","ATL","Delta Air Lines Inc.",11,1760,1537,614,1641
"BZN","ATL","Delta Air Lines Inc.",1,148,105,694,1641
"BZN","FAR","Delta Air Lines Inc.",1,148,121,694,690
"BZN","MSP","Delta Air Lines Inc.",1,148,93,694,874
"BZN","MSP","Delta Air Lines Inc.",28,3528,2538,698,874
"CAE","ATL","Delta Air Lines Inc.",29,4125,2236,655,191
"CAE","ATL","Delta Air Lines Inc.",2,368,138,622,191
"CAE","CHS","Delta Air Lines Inc.",1,142,93,655,95
"CHS","ATL","Delta Air Lines Inc.",3,372,337,612,259
"CHS","ATL","Delta Air Lines Inc.",13,2080,1571,614,259
"CHS","ATL","Delta Air Lines Inc.",1,183,158,622,259
"CHS","ATL","Delta Air Lines Inc.",46,5748,4123,650,259
"CHS","ATL","Delta Air Lines Inc.",98,13943,9586,655,259
"CHS","ATL","Delta Air Lines Inc.",13,1923,1134,694,259
"CHS","ATL","Delta Air Lines Inc.",17,2142,1874,698,259
"CKB","MIA","Delta Air Lines Inc.",1,148,47,694,930
"CLE","ATL","Delta Air Lines Inc.",11,1375,1220,650,554
"CLE","ATL","Delta Air Lines Inc.",1,54,35,698,554
"CLE","BWI","Delta Air Lines Inc.",1,262,143,626,314
"CLE","CLT","Delta Air Lines Inc.",1,54,39,698,430
"CLE","HOU","Delta Air Lines Inc.",1,54,35,698,1107
"CLE","MCO","Delta Air Lines Inc.",1,54,33,698,895
"CLE","MDW","Delta Air Lines Inc.",1,54,39,698,307
"CLE","MIA","Delta Air Lines Inc.",1,54,38,698,1080
"CLE","MSP","Delta Air Lines Inc.",3,162,97,698,622
"CLT","ATL","Delta Air Lines Inc.",3,372,287,612,227
"CLT","ATL","Delta Air Lines Inc.",8,1280,1090,614,227
"CLT","ATL","Delta Air Lines Inc.",2,365,240,622,227
"CLT","ATL","Delta Air Lines Inc.",208,29569,23103,655,227
"CLT","ATL","Delta Air Lines Inc.",17,2512,1955,694,227
"CLT","ATL","Delta Air Lines Inc.",29,3654,2046,698,227
"CLT","ATL","Delta Air Lines Inc.",3,552,124,622,227
"CLT","CLE","Delta Air Lines Inc.",1,54,39,698,430
"CLT","DTW","Delta Air Lines Inc.",1,160,158,614,500
"CLT","DTW","Delta Air Lines Inc.",45,4950,3637,645,500
"CLT","DTW","Delta Air Lines Inc.",21,2625,1883,650,500
"CLT","DTW","Delta Air Lines Inc.",1,149,122,655,500
"CLT","DTW","Delta Air Lines Inc.",48,6048,3996,698,500
"CLT","EWR","Delta Air Lines Inc.",2,108,88,698,529
"CLT","IAD","Delta Air Lines Inc.",1,54,38,698,321
"CLT","IND","Delta Air Lines Inc.",1,54,35,698,428
"CLT","MEM","Delta Air Lines Inc.",11,1386,936,698,512
"CLT","MEM","Delta Air Lines Inc.",1,54,35,698,512
"CLT","MIA","Delta Air Lines Inc.",1,54,36,698,650
"CLT","MSP","Delta Air Lines Inc.",14,1995,1008,655,930
"CLT","MSP","Delta Air Lines Inc.",2,295,217,694,930
"CLT","MSP","Delta Air Lines Inc.",26,3276,2177,698,930
"CLT","PHL","Delta Air Lines Inc.",1,142,37,655,448
"CLT","PHX","Delta Air Lines Inc.",1,184,124,622,1774
"CLT","TLH","Delta Air Lines Inc.",1,184,161,622,386
"CMH","ATL","Delta Air Lines Inc.",1,124,118,612,446
"CMH","ATL","Delta Air Lines Inc.",42,6720,5109,614,446
"CMH","ATL","Delta Air Lines Inc.",22,2750,2385,650,446
"CMH","ATL","Delta Air Lines Inc.",116,16507,12904,655,446
"CMH","ATL","Delta Air Lines Inc.",13,1924,956,694,446
"CMH","LAX","Delta Air Lines Inc.",8,1280,806,614,1996
"CMH","MSP","Delta Air Lines Inc.",10,1427,587,655,627
"CMH","MSP","Delta Air Lines Inc.",1,54,40,698,627
"COS","ATL","Delta Air Lines Inc.",29,4639,3897,614,1185
"COS","ATL","Delta Air Lines Inc.",1,142,130,655,1185
"COS","PHX","Delta Air Lines Inc.",1,217,204,626,551
"CVG","ATL","Delta Air Lines Inc.",1,124,71,612,373
"CVG","ATL","Delta Air Lines Inc.",16,2560,2144,614,373
"CVG","ATL","Delta Air Lines Inc.",1,183,87,622,373
"CVG","ATL","Delta Air Lines Inc.",1,262,209,626,373
"CVG","ATL","Delta Air Lines Inc.",2,250,170,650,373
"CVG","ATL","Delta Air Lines Inc.",72,10259,8261,655,373
"CVG","ATL","Delta Air Lines Inc.",13,1920,1241,694,373
"CVG","ATL","Delta Air Lines Inc.",30,3780,2932,698,373
"CVG","BOS","Delta Air Lines Inc.",54,7990,5790,694,752
"CVG","BOS","Delta Air Lines Inc.",1,126,121,698,752
"CVG","DEN","Delta Air Lines Inc.",31,4960,3323,614,1069
"CVG","DTW","Delta Air Lines Inc.",1,148,27,694,229
"CVG","FLL","Delta Air Lines Inc.",12,1919,1294,614,932
"CVG","FLL","Delta Air Lines Inc.",17,2414,2097,655,932
"CVG","FLL","Delta Air Lines Inc.",27,3994,2958,694,932
"CVG","FNT","Delta Air Lines Inc.",1,125,117,650,275
"CVG","JFK","Delta Air Lines Inc.",26,3698,1995,655,589
"CVG","LAS","Delta Air Lines Inc.",2,320,272,614,1678
"CVG","LAS","Delta Air Lines Inc.",47,6950,5568,694,1678
"CVG","LAS","Delta Air Lines Inc.",1,126,126,698,1678
"CVG","LAX","Delta Air Lines Inc.",14,2240,2044,614,1900
"CVG","LAX","Delta Air Lines Inc.",57,8436,7448,694,1900
"CVG","LAX","Delta Air Lines Inc.",1,126,126,698,1900
"CVG","LGA","Delta Air Lines Inc.",1,160,132,614,585
"CVG","LGA","Delta Air Lines Inc.",1,142,92,655,585
"CVG","LGA","Delta Air Lines Inc.",54,7991,4974,694,585
"CVG","LGA","Delta Air Lines Inc.",3,378,290,698,585
"CVG","MCO","Delta Air Lines Inc.",14,2239,2054,614,756
"CVG","MCO","Delta Air Lines Inc.",70,9947,8609,655,756
"CVG","MCO","Delta Air Lines Inc.",3,442,431,694,756
"CVG","MIA","Delta Air Lines Inc.",13,2080,1014,614,948
"CVG","MIA","Delta Air Lines Inc.",26,3699,3077,655,948
"CVG","MIA","Delta Air Lines Inc.",4,592,503,694,948
"CVG","MSP","Delta Air Lines Inc.",1,246,236,624,596
"CVG","MSP","Delta Air Lines Inc.",1,298,297,687,596
"CVG","PHX","Delta Air Lines Inc.",29,4292,3118,694,1569
"CVG","PIT","Delta Air Lines Inc.",1,184,123,622,256
"CVG","RSW","Delta Air Lines Inc.",43,6113,4647,655,879
"CVG","RSW","Delta Air Lines Inc.",27,3996,2949,694,879
"CVG","RSW","Delta Air Lines Inc.",1,126,126,698,879
"CVG","SAN","Delta Air Lines Inc.",10,1480,1258,694,1865
"CVG","SAN","Delta Air Lines Inc.",1,262,127,626,1865
"CVG","SEA","Delta Air Lines Inc.",24,3551,2978,694,1964
"CVG","SEA","Delta Air Lines Inc.",1,126,108,698,1964
"CVG","SFO","Delta Air Lines Inc.",6,960,872,614,2036
"CVG","SFO","Delta Air Lines Inc.",29,4290,3567,694,2036
"CVG","SLC","Delta Air Lines Inc.",4,640,516,614,1449
"CVG","SLC","Delta Air Lines Inc.",58,8581,7553,694,1449
"CVG","TPA","Delta Air Lines Inc.",16,2560,1391,614,773
"CVG","TPA","Delta Air Lines Inc.",14,1988,1824,655,773
"CVG","TPA","Delta Air Lines Inc.",27,3996,3005,694,773
"DAB","ATL","Delta Air Lines Inc.",39,4873,4437,650,366
"DAB","ATL","Delta Air Lines Inc.",40,5686,4726,655,366
"DAB","ATL","Delta Air Lines Inc.",1,148,109,694,366
"DAB","ATL","Delta Air Lines Inc.",12,1512,1273,698,366
"DAL","EWR","Delta Air Lines Inc.",1,54,39,698,1364
"DAL","MSP","Delta Air Lines Inc.",1,54,43,698,853
"DAL","PDX","Delta Air Lines Inc.",1,54,36,698,1626
"DAL","SAT","Delta Air Lines Inc.",3,162,110,698,248
"DAL","SLC","Delta Air Lines Inc.",1,54,34,698,999
"DAY","ATL","Delta Air Lines Inc.",1,124,121,612,432
"DAY","ATL","Delta Air Lines Inc.",1,160,83,614,432
"DAY","ATL","Delta Air Lines Inc.",13,1621,1414,650,432
"DAY","ATL","Delta Air Lines Inc.",128,18208,14157,655,432
"DAY","ATL","Delta Air Lines Inc.",1,150,140,656,432
"DAY","ATL","Delta Air Lines Inc.",1,126,125,698,432
"DCA","ATL","Delta Air Lines Inc.",19,3040,1911,614,547
"DCA","ATL","Delta Air Lines Inc.",106,19397,13866,622,547
"DCA","ATL","Delta Air Lines Inc.",222,31600,24401,655,547
"DCA","ATL","Delta Air Lines Inc.",25,3694,2740,694,547
"DCA","ATL","Delta Air Lines Inc.",47,5921,5178,698,547
"DCA","DTW","Delta Air Lines Inc.",13,2080,1016,614,405
"DCA","DTW","Delta Air Lines Inc.",1,110,54,645,405
"DCA","DTW","Delta Air Lines Inc.",2,284,185,655,405
"DCA","DTW","Delta Air Lines Inc.",60,8874,5751,694,405
"DCA","DTW","Delta Air Lines Inc.",78,9827,6001,698,405
"DCA","MCO","Delta Air Lines Inc.",65,9250,7177,655,759
"DCA","MCO","Delta Air Lines Inc.",4,592,557,694,759
"DCA","MCO","Delta Air Lines Inc.",42,5292,3047,698,759
"DCA","MEM","Delta Air Lines Inc.",16,2279,1420,655,762
"DCA","MEM","Delta Air Lines Inc.",9,1332,1111,694,762
"DCA","MEM","Delta Air Lines Inc.",20,2520,1726,698,762
"DCA","MIA","Delta Air Lines Inc.",1,142,138,655,920
"DCA","MIA","Delta Air Lines Inc.",55,6930,4716,698,920
"DCA","MKE","Delta Air Lines Inc.",1,148,75,694,634
"DCA","MSP","Delta Air Lines Inc.",2,320,170,614,931
"DCA","MSP","Delta Air Lines Inc.",1,182,171,622,931
"DCA","MSP","Delta Air Lines Inc.",53,7547,4215,655,931
"DCA","MSP","Delta Air Lines Inc.",1,150,140,656,931
"DCA","MSP","Delta Air Lines Inc.",27,3996,3110,694,931
"DCA","MSP","Delta Air Lines Inc.",57,7180,5868,698,931
"DCA","SLC","Delta Air Lines Inc.",30,5515,4871,622,1851
"DCA","TPA","Delta Air Lines Inc.",24,3415,2661,655,814
"DCA","TPA","Delta Air Lines Inc.",2,296,59,694,814
"DCA","TPA","Delta Air Lines Inc.",30,3780,1094,698,814
"DEN","ATL","Delta Air Lines Inc.",3,480,341,614,1199
"DEN","ATL","Delta Air Lines Inc.",98,17952,16104,622,1199
"DEN","ATL","Delta Air Lines Inc.",35,4970,4458,655,1199
"DEN","ATL","Delta Air Lines Inc.",90,13318,11525,694,1199
"DEN","ATL","Delta Air Lines Inc.",1,126,114,698,1199
"DEN","CVG","Delta Air Lines Inc.",3,480,216,614,1069
"DEN","CVG","Delta Air Lines Inc.",28,4144,3178,694,1069
"DEN","DTW","Delta Air Lines Inc.",46,7360,5664,614,1123
"DEN","DTW","Delta Air Lines Inc.",26,4755,4226,622,1123
"DEN","DTW","Delta Air Lines Inc.",2,284,146,655,1123
"DEN","DTW","Delta Air Lines Inc.",19,2812,2392,694,1123
"DEN","JFK","Delta Air Lines Inc.",17,2720,1505,614,1626
"DEN","JFK","Delta Air Lines Inc.",11,1628,1449,694,1626
"DEN","LAX","Delta Air Lines Inc.",1,160,155,614,862
"DEN","LAX","Delta Air Lines Inc.",1,54,39,698,862
"DEN","MCO","Delta Air Lines Inc.",1,54,34,698,1545
"DEN","MSP","Delta Air Lines Inc.",4,640,361,614,680
"DEN","MSP","Delta Air Lines Inc.",27,4942,4074,622,680
"DEN","MSP","Delta Air Lines Inc.",27,3841,2806,655,680
"DEN","MSP","Delta Air Lines Inc.",47,7050,4985,656,680
"DEN","MSP","Delta Air Lines Inc.",89,13169,9330,694,680
"DEN","MSP","Delta Air Lines Inc.",7,882,742,698,680
"DEN","MSP","Delta Air Lines Inc.",1,54,45,698,680
"DEN","PDX","Delta Air Lines Inc.",2,108,76,698,992
"DEN","SAT","Delta Air Lines Inc.",1,54,40,698,794
"DEN","SFO","Delta Air Lines Inc.",1,54,33,698,967
"DEN","SLC","Delta Air Lines Inc.",1,126,27,698,391
"DEN","SLC","Delta Air Lines Inc.",1,54,37,698,391
"DEN","TUL","Delta Air Lines Inc.",1,183,163,622,541
"DFW","ATL","Delta Air Lines Inc.",16,2560,2092,614,732
"DFW","ATL","Delta Air Lines Inc.",124,22686,16060,622,732
"DFW","ATL","Delta Air Lines Inc.",2,250,217,650,732
"DFW","ATL","Delta Air Lines Inc.",129,18373,16014,655,732
"DFW","ATL","Delta Air Lines Inc.",42,6216,5416,694,732
"DFW","ATL","Delta Air Lines Inc.",1,126,123,698,732
"DFW","DTW","Delta Air Lines Inc.",1,125,31,650,987
"DFW","DTW","Delta Air Lines Inc.",9,1332,1055,694,987
"DFW","DTW","Delta Air Lines Inc.",28,3527,2932,698,987
"DFW","LNK","Delta Air Lines Inc.",1,298,208,687,549
"DFW","LNK","Delta Air Lines Inc.",1,403,388,819,549
"DFW","MEM","Delta Air Lines Inc.",1,148,50,694,432
"DFW","MEM","Delta Air Lines Inc.",13,1638,629,698,432
"DFW","MSP","Delta Air Lines Inc.",13,1625,1316,650,852
"DFW","MSP","Delta Air Lines Inc.",9,1292,996,655,852
"DFW","MSP","Delta Air Lines Inc.",19,2394,1783,698,852
"DFW","PHL","Delta Air Lines Inc.",1,224,183,623,1302
"DFW","SLC","Delta Air Lines Inc.",1,160,131,614,988
"DFW","SLC","Delta Air Lines Inc.",1,182,142,622,988
"DFW","TUS","Delta Air Lines Inc.",1,148,139,694,813
"DLH","MSP","Delta Air Lines Inc.",1,224,101,623,144
"DLH","MSP","Delta Air Lines Inc.",1,126,67,698,144
"DSM","DTW","Delta Air Lines Inc.",1,110,35,645,534
"DSM","MSP","Delta Air Lines Inc.",1,160,139,614,232
"DSM","MSP","Delta Air Lines Inc.",1,148,14,694,232
"DTW","ALB","Delta Air Lines Inc.",1,110,43,645,488
"DTW","ATL","Delta Air Lines Inc.",19,3040,2508,614,594
"DTW","ATL","Delta Air Lines Inc.",135,24758,19644,622,594
"DTW","ATL","Delta Air Lines Inc.",24,5376,4353,623,594
"DTW","ATL","Delta Air Lines Inc.",16,3607,1974,626,594
"DTW","ATL","Delta Air Lines Inc.",41,11146,6455,627,594
"DTW","ATL","Delta Air Lines Inc.",2,250,217,650,594
"DTW","ATL","Delta Air Lines Inc.",63,8974,7393,655,594
"DTW","ATL","Delta Air Lines Inc.",36,5328,4195,694,594
"DTW","ATL","Delta Air Lines Inc.",8,1008,873,698,594
"DTW","AUS","Delta Air Lines Inc.",32,4032,2135,698,1149
"DTW","BDL","Delta Air Lines Inc.",17,2720,2196,614,548
"DTW","BDL","Delta Air Lines Inc.",12,1319,1071,645,548
"DTW","BDL","Delta Air Lines Inc.",3,375,289,650,548
"DTW","BDL","Delta Air Lines Inc.",4,592,431,694,548
"DTW","BDL","Delta Air Lines Inc.",17,2142,1550,698,548
"DTW","BNA","Delta Air Lines Inc.",11,1210,837,645,457
"DTW","BNA","Delta Air Lines Inc.",13,1625,758,650,457
"DTW","BNA","Delta Air Lines Inc.",1,148,35,694,457
"DTW","BNA","Delta Air Lines Inc.",14,1764,1127,698,457
"DTW","BOS","Delta Air Lines Inc.",40,6400,3451,614,632
"DTW","BOS","Delta Air Lines Inc.",2,368,181,622,632
"DTW","BOS","Delta Air Lines Inc.",15,1650,1401,645,632
"DTW","BOS","Delta Air Lines Inc.",8,1000,684,650,632
